identifier 1,abstract,abstract 2,collection,collection_identifier,date_range_end,date_qualifier,date_single/start,date_text,digital_origin,filename 1,filename 2,form,identifier 2,internet_media_type,item_type,language,language_of_cataloging,name 1,name_role 1,name 2,name_role 2,name 3,name_role 3,note,note_2,place_of_origin,repository,series_title,title2,title2_part,project_url,project,rights,subject_topical 1 1,subject_topical 1 2,subject_topical 2 1,subject_topical 2 2,subject_topical 3,subject_name 1,subject_name 2,subject_geographic,subject_geographic 2 1,subject_geographic 2 2,subject_geographic 3 1,subject_geographic 3 2,subject_geographic 4 1,subject_geographic 4 2,subject_geographic 5 1,subject_geographic 5 2,genre,title,title_intial_article
0012_003589_000217_0001,"Postcard with handwritten note sent from Knoxville to Miss Frances Bogart, Hiwassee College in Madisonville, Tenn. on November 3, 1941.",Modern highways are now built through the picturesque Smokies. This is the lower of two wide tunnels constructed to eliminate sharp turns in the roadway for safe motoring.,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,,,1941-11-03,1941-11-03,reformatted digital,gsmrc-post_22_01.jp2,gsmrc-post_22_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000217_0002,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,"Thompsons (Knoxville, Tenn.)",Contributor | http://id.loc.gov/vocabulary/relators/ctb,,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Tunnels | http://id.loc.gov/authorities/subjects/sh85138674,Tunnels | DOTS,Automobiles | http://id.loc.gov/authorities/subjects/sh85010201,Automobiles | DOTS,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",,,,,,,,,,"Lower Tunnel, The Great Smoky Mountains National Park",
0012_003589_000218_0001,"Postcard with handwritten note sent from Knoxville to Miss Norene Bogart,  Loudon, Tenn. on January 29, 1945 for a postage of 1 cent.","There are many spectacular views and engineering features along the Tennessee side of the Newfound Gap Highway. Here we see the upper end of the lower tunnel, with the Chimney Tops rising majestically in the left background.","Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,,,1945-01-29,1945-01-29,reformatted digital,gsmrc-post_23_01.jp2,gsmrc-post_23_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000218_0002,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,"Thompsons (Knoxville, Tenn.)",Contributor | http://id.loc.gov/vocabulary/relators/ctb,,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Tunnels | http://id.loc.gov/authorities/subjects/sh85138674,Tunnels | DOTS,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Chimney Tops | Coordinates: 35.62999N, 83.47803W",Chimney Tops | DOTS,,,,,,,," Lower Tunnel with the Chimney Tops, Great Smoky Mountains National Park",The 
0012_003589_000219_0001,,,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,1949,approximate,1940,Circa 1940s,reformatted digital,gsmrc-post_24_01.jp2,gsmrc-post_24_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000219_0002,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,"Thompsons (Knoxville, Tenn.)",Contributor | http://id.loc.gov/vocabulary/relators/ctb,Reverse has remains of a black paper scrapbook page.,Unused postcard.,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Gristmills | http://id.loc.gov/authorities/subjects/sh94007572,Gristmills | DOTS,Water power | http://id.loc.gov/authorities/subjects/sj96006364,Water power | DOTS,Water-wheels | http://id.loc.gov/authorities/subjects/sh85145671,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",,,,,,,,,,"Old Grist Mill, The Great Smoky Mountains National Park",
0012_003589_000220_0001,"Postcard with handwritten note sent from Knoxville to Miss Norene Bogart, Loudon, Tenn. on July 1, 1943 for a postage of 1 cent.",Postmark: Buy War Savings Bonds and Stamps,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,,,1943-07-01,1943-07-01,reformatted digital,gsmrc-post_25_01.jp2,gsmrc-post_25_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000220_0002,image/jp2,still image,eng,eng,"Asheville Post Card Company (Asheville, N.C.)",Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,Jim Thompson Co.,Contributor | http://id.loc.gov/vocabulary/relators/ctb,,,,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Waterfalls | http://id.loc.gov/authorities/subjects/sh85145720,Waterfalls | DOTS,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",Rainbow Falls,Rainbow Fall | DOTS,,,,,,,,Rainbow Falls Great Smoky Mountains National Park,
0012_003589_000221_0001,"Postcard with handwritten note sent from Knoxville, Tenn. to Mrs. C.J. Bogart, Loudon, Tenn. on March 9, 1944 for a postage of 1 cent.  The front image also includes a ""time savers easy correspondence card"" where the sender is meant to ""check items expressing your sentiments.""","The glimpse of the head water of Little Pigeon River is typical of the park streams.  Rainbow trout and black bass abound in such streams, as seen here.","Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,,,1944-03-09,1944-03-09,reformatted digital,gsmrc-post_26_01.jp2,gsmrc-post_26_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000221_0002,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Little Pigeon River | Coordinates: 35.93092N, 83.59545W",Little Pigeon River | DOTS,,,,,,,,"Little Pigeon River, Great Smoky Mountains National Park",
0012_003589_000250_0001,,"There are many spectacular views and engineering features along the Tennessee side of the Newfound Gap Highway. Here we see the upper end of the lower tunnel, with the Chimney Tops rising majestically in the left background.","Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,1949,approximate,1940,Circa 1940s,reformatted digital,gsmrc-post_27_01.jp2,gsmrc-post_27_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000250_0002,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,,,,Unused postcard.,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Tunnels | http://id.loc.gov/authorities/subjects/sh85138674,Tunnels | DOTS,Automobiles | http://id.loc.gov/authorities/subjects/sh85010201,Automobiles | DOTS,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Chimney Tops | Coordinates: 35.62999N, 83.47803W",Chimney Tops | DOTS,,,,,,,,"Tunnel and Chimney Tops, Great Smoky Mountains National Park",
0012_003589_000272_0001,,,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_28_01.jp2,gsmrc-post_28_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000272_0002,image/jp2,still image,eng,eng,"Asheville Post Card Company (Asheville, N.C.)",Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,,,Creation date inferred from archival collection dates.,Unused postcard.,,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Automobiles | http://id.loc.gov/authorities/subjects/sh85010201,Automobiles | DOTS,Rivers--Tennessee | http://id.loc.gov/authorities/subjects/sh85114409,Streams | DOTS,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",,,,,,,,,, Winding Roadway in the Heart of the Mountains,A 
0012_003589_000273_0001,,,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_29_01.jp2,gsmrc-post_29_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000273_0002,image/jp2,still image,eng,eng,"Asheville Post Card Company (Asheville, N.C.)",Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,,,Creation date inferred from archival collection dates.,Unused postcard.,,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Roads | http://id.loc.gov/authorities/subjects/sh85114487,Roads | DOTS,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Little River (Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh91003381 | Coordinates: 35.65304N, 83.56978W",Little River | DOTS,,,,,,,,Little River in the Great Smoky Mountains National Park,
0012_003589_000274_0001,,,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_30_01.jp2,gsmrc-post_30_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000274_0002,image/jp2,still image,eng,eng,"Asheville Post Card Company (Asheville, N.C.)",Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,,,Creation date inferred from archival collection dates.,Unused postcard.,,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Automobiles | http://id.loc.gov/authorities/subjects/sh85010201,Automobiles | DOTS,Roads | http://id.loc.gov/authorities/subjects/sh85114487,Roads | DOTS,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",,,,,,,,,,"Roadway Scene. ""In the Heart of the Mountains.""",
0012_003589_000275_0001,,,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_31_01.jp2,gsmrc-post_31_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000275_0002,image/jp2,still image,eng,eng,"Asheville Post Card Company (Asheville, N.C.)",Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,,,Creation date inferred from archival collection dates.,Unused postcard.,,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Rivers--Tennessee | http://id.loc.gov/authorities/subjects/sh85114409,Streams | DOTS,Landscapes | http://id.loc.gov/authorities/subjects/sh85074392,Scenery and landscapes | DOTS,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",,,,,,,,,,"Tennessee River Bend, near the Great Smoky Mountains National Park",
0012_003589_000276_0001,,,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_32_01.jp2,gsmrc-post_32_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000276_0002,image/jp2,still image,eng,eng,"Asheville Post Card Company (Asheville, N.C.)",Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,Thompson Bros.,Contributor | http://id.loc.gov/vocabulary/relators/ctb,Creation date inferred from archival collection dates.,Unused postcard.,,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Trails--Tennessee | http://id.loc.gov/authorities/subjects/sh2006008852,Trails | DOTS,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Little Bald | Coordinates: 35.55009N, 83.78406W",Little Bald | DOTS,"Mount Squires | Coordinates: 35.56203N, 83.74184W",Mount Squires | DOTS,,,,,,Little Bald Mountain. The Great Smoky Mountains National Park.,
0012_003589_000222_0000,Cover of a souvenir folder of postcard-sized images that fold out in accordion style.  Front image shows Cherokee women with children.,,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_33_01.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,Creation date inferred from archival collection dates.,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",Souvenir of Great Smoky Mountains National Park,Souvenir of Great Smoky Mountains National Park,Postcard 1,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,Eastern Band of Cherokee Indians | http://id.loc.gov/authorities/names/n50024398,Eastern Band of the Cherokee | DOTS,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",,,,,,,,,Souvenir postcard folders,Souvenir of Great Smoky Mountains National Park,
0012_003589_000223_0000,Back cover of a souvenir folder with an image showing a river with mountain laurel lining the banks.  The back cover is made of two parts and unfolds like an envelope.,,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_33_02.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,Creation date inferred from archival collection dates.,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",Souvenir of Great Smoky Mountains National Park,Souvenir of Great Smoky Mountains National Park,Postcard 2,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Flowers | http://id.loc.gov/authorities/subjects/sh85049332,Flowering plants | DOTS,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",,,,,,,,,Souvenir postcard folders,Mountain Laurel,
0012_003589_000224_0000,Inside text for a souvenir folder describing the Smoky Mountains.,,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_33_03.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,Creation date inferred from archival collection dates.,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",Souvenir of Great Smoky Mountains National Park,Souvenir of Great Smoky Mountains National Park,Postcard 3,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Tourism--Marketing | http://id.loc.gov/authorities/subjects/sh2008112936,Tourism -- Promotion | DOTS,Automobile travel | http://id.loc.gov/authorities/subjects/sh85010400,Motor trips | DOTS,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",,,,,,,,,Souvenir postcard folders," Great Smoky Mountains National Park: ""Land of the Everlasting Hills""",The 
0012_003589_000225_0000,Image includes The Loop-over and Typical Mountain Home in Great Smoky Mountains National Park.,,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_33_04.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,Creation date inferred from archival collection dates.,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",Souvenir of Great Smoky Mountains National Park,Souvenir of Great Smoky Mountains National Park,Postcard 4,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Tourism | http://id.loc.gov/authorities/subjects/sh85136255,Tourism | DOTS,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",,,,,,,,,Souvenir postcard folders,Souvenir Folder Structure,
0012_003589_000226_0000,Image in a souvenir folder.,,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_33_05.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,"Thompson, Robin",Contributor | http://id.loc.gov/vocabulary/relators/ctb,Creation date inferred from archival collection dates.,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",Souvenir of Great Smoky Mountains National Park,Souvenir of Great Smoky Mountains National Park,Postcard 5,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Alum Cave | Coordinates: 36.48925N, 83.92353W",Alum Cave | DOTS,,,,,,,Souvenir postcard folders,Alum Cave Bluffs of Mt. Le Conte,
0012_003589_000227_0000,Image in a souvenir folder showing the Qualla Boundary.,,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_33_06.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,Creation date inferred from archival collection dates.,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",Souvenir of Great Smoky Mountains National Park,Souvenir of Great Smoky Mountains National Park,Postcard 6,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,Eastern Band of Cherokee Indians | http://id.loc.gov/authorities/names/n50024398,Eastern Band of the Cherokee | DOTS,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Qualla Boundary | Coordinates: 35.5N, 83.2667W",Qualla Boundary | DOTS,,,,,,,Souvenir postcard folders,Cherokee Indian Reservation,
0012_003589_000228_0000,Image in a souvenir folder.,,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_33_07.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,Creation date inferred from archival collection dates.,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",Souvenir of Great Smoky Mountains National Park,Souvenir of Great Smoky Mountains National Park,Postcard 7,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Chimney Tops | Coordinates: 35.62999N, 83.47803W",Chimney Tops | DOTS,Newfound Gap Road,Newfound Gap Road/U.S. 441 | DOTS,,,,,Souvenir postcard folders,Chimney Tops from above the Loop-over,
0012_003589_000229_0000,Image in a souvenir folder.,,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_33_08.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,Creation date inferred from archival collection dates.,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",Souvenir of Great Smoky Mountains National Park,Souvenir of Great Smoky Mountains National Park,Postcard 8,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Automobiles | http://id.loc.gov/authorities/subjects/sh85010201,Automobiles | DOTS,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Chimney Tops | Coordinates: 35.62999N, 83.47803W",Chimney Tops | DOTS,,,,,,,Souvenir postcard folders,Chimney Tops as Seen from Park Highway,
0012_003589_000230_0000,Image in a souvenir folder.,,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_33_09.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,Creation date inferred from archival collection dates.,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",Souvenir of Great Smoky Mountains National Park,Souvenir of Great Smoky Mountains National Park,Postcard 9,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Laurel Falls Trail | Coordinates: 35.67148N, 83.59072W",Laurel Falls Trail | DOTS,,,,,,,Souvenir postcard folders,Laurel Falls Trail,
0012_003589_000231_0000,Image in a souvenir folder.,,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_33_10.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,Creation date inferred from archival collection dates.,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",Souvenir of Great Smoky Mountains National Park,Souvenir of Great Smoky Mountains National Park,Postcard 10,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",,,,,,,,,Souvenir postcard folders,Mountain Stream in the Great Smoky Mountains National Park,
0012_003589_000232_0000,Image in a souvenir folder.,,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_33_11.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,Creation date inferred from archival collection dates.,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",Souvenir of Great Smoky Mountains National Park,Souvenir of Great Smoky Mountains National Park,Postcard 11,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","LeConte, Mount (Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh86006260 | Coordinates: 35.65426N, 83.43683W",Mount Le Conte | DOTS,"Greenbrier Pinnacle | Coordinates: 35.72287N, 83.31599W",Greenbrier Pinnacle | DOTS,,,,,Souvenir postcard folders,Mt. Le Conte from Greenbrier Pinnacle Trail,
0012_003589_000233_0000,Image in a souvenir folder.,,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_33_12.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,Creation date inferred from archival collection dates.,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",Souvenir of Great Smoky Mountains National Park,Souvenir of Great Smoky Mountains National Park,Postcard 12,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Chimney Tops | Coordinates: 35.62999N, 83.47803W",Chimney Tops | DOTS,Newfound Gap Road,Newfound Gap Road/U.S. 441 | DOTS,,,,,Souvenir postcard folders,"Newfound Gap Highway, Chimney Tops in Background",
